,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1165,260,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,San Pedro,Av Belgrano 949,-33.6787416,-59.6679614,260 - San Pedro,Autoservicio
1166,261,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Sarmierto 1282,-34.6051859,-58.3847811,261 - San Nicolas,Autoservicio
1167,262,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Eva Peron 1790,-34.6355448,-58.4483758,262 - Parque Chacabuco,Autoservicio
1168,263,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Lacarra 574,-34.6401732,-58.4813056,263 - Parque Avellaneda,Autoservicio
1169,264,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Tigre,Cl Santa Maria 2539,-34.4184565,-58.59602170000001,264 - Tigre,Autoservicio
1170,265,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Azul,Av San Martin 676,-36.7810658,-59.8595911,265 - Azul,Autoservicio
1171,266,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Matheu 1756,-34.6298211,-58.39805129999999,266 - Parque Patricios,Autoservicio
1172,268,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Riobamba 1014,-34.5971041,-58.39478610000001,268 - Recoleta,Autoservicio
1173,269,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Arcos 2192,-34.5594987,-58.4545906,269 - Belgrano,Autoservicio
1174,27,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Rivadavia 7850,-34.6322172,-58.47511239999999,27 - Floresta,Autoservicio
1175,270,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Tigre,Cl Hipolito Yrigoyen 1973,-34.4692902,-58.6512228,270 - Tigre,Autoservicio
1176,271,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av San Juan 1932,-34.6228846,-58.3931835,271 - San Cristobal,Autoservicio
1177,272,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Scalabrini Ortiz 2067,-34.588069399999995,-58.4205839,272 - Palermo,Autoservicio
1178,273,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Tandil,Av Colon 1143,-37.317411,-59.134689,273 - Tandil,Autoservicio
1179,274,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Monroe 1911,-34.5555822,-58.4554028,274 - Belgrano,Autoservicio
1180,275,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,General Madariaga,Cl Sarmiento 1400,-37.003439,-57.136081,275 - General Madariaga,Autoservicio
1181,276,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Jose Manuel Marmol,Cl Bynnon 1704,-34.7960196,-58.3859618,276 - Jose Manuel Marmol,Autoservicio
1182,277,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Cabildo 3822,-34.547954600000004,-58.4689903,277 - Saavedra,Autoservicio
1183,278,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Balcarce,Cl Boulevar Del Valle 512,-37.8407516,-58.25625229999999,278 - Balcarce,Autoservicio
1184,279,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Longchamps,Cl Rivadavia 1495,-34.85823,-58.38930799999999,279 - Longchamps,Autoservicio
1185,28,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Merlo,Cl Av. San Martin 2971,-34.6866773,-58.73184540000001,28 - Merlo,Autoservicio
1186,280,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,San Nicolas,Cl Pellegrini 328,-33.3346028,-60.21889720000001,280 - San Nicolas,Autoservicio
1187,281,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Chacabuco,Av Hipolito Yrigoyen 51,-34.6346734,-60.46422239999999,281 - Chacabuco,Autoservicio
1188,282,15,1,Supermercados Dia,Dia Argentina S.A,Ar-S,Arroyo Seco,Cl Hipolito Yrigoyen 229,-33.156124,-60.512711,282 - Arroyo Seco,Autoservicio
1189,283,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Pilar,Av Tratado Del Pilar 131,-34.452767200000004,-58.90790060000001,283 - Pilar,Autoservicio
1190,284,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Berutii 3434,-34.5863049,-58.4109701,284 - Palermo,Autoservicio
1191,286,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Migueletes 752,-34.5667734,-58.43356170000001,286 - Palermo,Autoservicio
